age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
25,6.0,143033,14.0,4.0,9.0,1.0,4.0,0.00010707689640013617,0,0,40,38.0,0.0
40,3.0,187737,9.0,4.0,3.0,1.0,4.0,0.00011469208756820627,0,0,40,38.0,0.0
22,3.0,185107,9.0,4.0,3.0,1.0,4.0,0.00019217323216651875,0,0,45,38.0,0.0
33,3.0,197027,15.0,4.0,9.0,3.0,4.0,7.898367926097952e-05,0,0,40,38.0,0.0
39,3.0,109549,14.0,4.0,7.0,1.0,1.0,0.00026434034430291003,0,0,40,2.0,0.0
77,3.0,68094,8.0,6.0,0.0,1.0,4.0,0.00021135008759409283,0,0,35,38.0,0.0
37,3.0,85759,12.0,0.0,3.0,1.0,4.0,0.00018952671540568147,10079,0,40,38.0,0.0
51,3.0,198653,11.0,0.0,8.0,1.0,4.0,0.0004368414767539486,0,0,38,38.0,0.0
21,3.0,116757,9.0,4.0,7.0,1.0,4.0,0.0001566802882273887,0,0,29,7.0,0.0
36,3.0,230499,0.0,0.0,2.0,4.0,4.0,0.0002557398422153581,0,1588,40,25.0,0.0
26,5.0,199983,15.0,0.0,2.0,1.0,4.0,0.9999864456064418,0,0,60,38.0,0.0
19,3.0,201890,9.0,4.0,11.0,1.0,4.0,6.927388444641868e-05,0,0,30,38.0,0.0
45,3.0,194050,9.0,2.0,9.0,0.0,4.0,0.0003159928465886867,0,1875,58,38.0,1.0
23,3.0,105385,15.0,4.0,0.0,3.0,4.0,0.00026684274059513854,0,0,32,38.0,0.0
27,3.0,64745,11.0,4.0,2.0,2.0,4.0,9.452341493659976e-05,0,0,40,38.0,0.0
36,3.0,109687,8.0,2.0,9.0,5.0,4.0,0.00018113370994317298,0,0,40,38.0,0.0
35,3.0,170495,11.0,4.0,7.0,4.0,4.0,0.00041053701200312765,0,0,40,38.0,0.0
30,3.0,89938,11.0,4.0,0.0,1.0,4.0,0.00023645180078610398,0,0,40,38.0,0.0
44,3.0,101760,15.0,0.0,0.0,4.0,4.0,0.00019327186962481542,0,0,30,38.0,0.0
26,3.0,124917,15.0,5.0,3.0,4.0,4.0,0.00020284952691441147,0,0,40,38.0,0.0
60,3.0,360632,12.0,3.0,13.0,1.0,4.0,0.9998569620266445,0,0,40,38.0,0.0
21,3.0,309158,4.0,2.0,9.0,5.0,4.0,0.0004116250822527841,0,0,40,25.0,0.0
44,5.0,160017,9.0,6.0,3.0,1.0,4.0,5.082754997422916e-05,15536,0,2,38.0,1.0
18,3.0,211546,15.0,4.0,11.0,3.0,4.0,6.0716723155458034e-05,0,0,19,38.0,0.0
34,3.0,211583,9.0,2.0,3.0,5.0,4.0,0.00027471405109570055,0,0,40,32.0,0.0
22,3.0,182813,9.0,4.0,9.0,1.0,4.0,0.0002005624171766727,0,0,40,3.0,0.0
49,0.0,425231,11.0,6.0,0.0,1.0,4.0,0.0003775548571584731,0,0,18,38.0,0.0
67,3.0,129781,11.0,6.0,0.0,1.0,4.0,8.609187980566455e-05,0,0,36,38.0,0.0
35,1.0,213128,8.0,2.0,0.0,5.0,4.0,0.00019104674063006268,0,0,34,38.0,0.0
51,3.0,323005,11.0,4.0,7.0,1.0,4.0,0.0005763152185787303,0,0,31,25.0,0.0
37,3.0,287141,15.0,0.0,7.0,1.0,4.0,0.00040475645082744334,0,0,40,38.0,0.0
41,1.0,170094,15.0,4.0,3.0,4.0,4.0,0.0003211140952314405,0,0,46,38.0,1.0
33,3.0,385248,11.0,4.0,0.0,2.0,4.0,0.00017902085076637107,0,0,40,38.0,0.0
38,6.0,229704,8.0,0.0,0.0,4.0,4.0,0.00046011578087947803,0,0,34,38.0,0.0
18,3.0,176276,15.0,4.0,11.0,3.0,4.0,0.00021287031603402484,0,0,19,38.0,0.0
20,3.0,257369,15.0,4.0,0.0,3.0,4.0,0.0003417697366742921,0,0,40,38.0,0.0
25,3.0,214017,11.0,6.0,6.0,1.0,4.0,0.00022924644119313108,0,0,40,25.0,0.0
35,3.0,206592,2.0,4.0,11.0,3.0,4.0,0.00018162370327919874,0,0,40,38.0,0.0
29,3.0,34839,9.0,4.0,11.0,4.0,4.0,0.0005149242342164751,0,0,56,38.0,0.0
36,3.0,203593,9.0,0.0,9.0,4.0,4.0,0.0002121983634938362,9713,0,40,38.0,1.0
44,3.0,295332,8.0,0.0,12.0,4.0,4.0,0.00031086097654647914,0,0,29,38.0,0.0
25,3.0,157030,9.0,2.0,9.0,5.0,4.0,6.905744633714121e-05,0,0,40,38.0,0.0
55,3.0,94769,15.0,0.0,0.0,4.0,4.0,9.229389987287616e-05,0,0,40,38.0,0.0
47,3.0,60491,15.0,4.0,9.0,1.0,4.0,0.0003739049161987283,0,0,22,38.0,0.0
45,3.0,316449,2.0,2.0,9.0,5.0,4.0,0.0002675179310364362,0,0,21,38.0,0.0
51,3.0,191383,11.0,5.0,7.0,4.0,4.0,0.00018436601585067078,0,0,35,38.0,0.0
