F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,T1
1,17.71332550048828,2.08455753326416,2,1,1,1.0598407983779907,0,1,1,0,2,111,72,0
1,32.320655822753906,5.845762729644775,2,9,4,4.069662094116211,1,1,10,1,2,1989,70,1
1,27.85721778869629,1.5178868770599365,2,13,4,1.1578028202056885,1,1,8,1,2,41,90,1
1,27.436861038208008,1.2971452474594116,2,3,8,0.1425500214099884,0,0,0,0,2,340,126,0
0,37.605926513671875,0.47940897941589355,2,7,8,2.752122640609741,1,1,3,0,2,494,123,1
0,23.181678771972656,0.8676787614822388,1,13,8,0.8566376566886902,1,0,0,0,2,151,379,1
1,29.981882095336914,1.4158504009246826,2,14,8,1.900874376296997,1,0,8,1,2,418,49,1
1,42.36504364013672,1.8906952142715454,2,8,8,0.20972836017608643,0,0,0,0,2,256,75,0
1,27.439590454101562,7.878030776977539,2,6,4,0.6357424259185791,0,0,0,1,2,179,41,0
0,24.331615447998047,12.811798095703125,2,11,4,1.848573088645935,1,1,3,0,2,0,14,1
1,27.037336349487305,3.4697744846343994,2,14,4,6.356441974639893,1,0,0,1,2,338,189,1
1,19.82636833190918,5.516848087310791,1,13,4,0.8836163878440857,1,1,19,0,2,163,602,1
0,23.148038864135742,1.1801648139953613,1,13,8,0.45184585452079773,1,0,0,0,2,371,45,1
0,22.72222900390625,0.5427514314651489,2,13,4,1.0575639009475708,1,1,3,0,2,315,305,1
0,34.846290588378906,5.625975608825684,2,2,8,1.561584711074829,1,0,0,0,2,157,151,1
1,24.976478576660156,8.35205078125,2,4,4,2.205491065979004,1,1,7,1,2,222,103,1
1,28.466598510742188,1.2968380451202393,2,11,8,1.7440829277038574,1,0,0,0,2,0,4,1
1,44.17887878417969,15.03528881072998,2,11,8,11.630888938903809,1,0,14,0,2,0,37,1
1,36.343387603759766,0.20745070278644562,2,9,4,0.14027002453804016,0,0,0,0,2,272,472,0
0,16.41720199584961,7.057845592498779,2,8,4,1.4369326829910278,1,1,3,1,2,128,6,0
0,16.13031578063965,0.5322853326797485,2,11,4,0.40137234330177307,0,0,0,0,2,245,143,0
0,17.50296974182129,0.5740916132926941,2,14,4,1.1688382625579834,1,1,6,0,2,241,211,1
1,25.895536422729492,2.4986002445220947,1,11,8,2.7427031993865967,1,1,4,1,2,321,490,1
1,23.00177001953125,2.1434102058410645,1,9,8,0.3548924922943115,0,0,0,1,2,156,5,0
1,40.135311126708984,6.0084228515625,2,8,4,9.716064453125,1,1,12,1,2,147,3940,1
1,55.74320602416992,13.429993629455566,2,10,1,19.10439682006836,1,1,12,0,2,0,1607,1
1,29.51026725769043,0.5955877304077148,2,14,4,0.020015448331832886,0,0,0,0,2,220,335,0
0,67.63360595703125,17.69324493408203,2,10,9,0.0,1,1,20,0,2,156,132,1
1,55.80070114135742,16.934877395629883,2,10,9,19.000391006469727,1,1,11,1,2,0,761,1
1,37.0425910949707,0.1990101933479309,2,7,8,0.6432406306266785,1,1,10,0,2,0,1534,0
1,20.99281120300293,0.4678938388824463,2,7,4,0.7506839632987976,0,1,1,1,2,129,562,0
1,25.363876342773438,0.02736128494143486,2,9,4,0.47369852662086487,0,0,0,0,1,405,114,0
0,25.673091888427734,14.18148422241211,2,3,4,0.307476282119751,1,1,7,0,2,150,225,1
0,22.45685577392578,0.7425258755683899,2,8,5,1.3551899194717407,1,1,8,1,2,176,679,1
1,19.465988159179688,1.76146399974823,1,1,4,0.8811770081520081,0,0,0,0,2,193,67,0
1,15.469215393066406,0.3755050599575043,2,4,4,0.3427280783653259,0,1,15,1,2,0,32,0
1,24.979324340820312,11.316544532775879,2,13,4,13.387190818786621,1,1,7,0,2,347,170,1
1,30.896883010864258,2.2072970867156982,2,1,4,0.17720192670822144,0,0,0,0,2,276,41,0
0,43.07383728027344,2.146907329559326,2,1,1,0.0,0,1,19,0,2,0,1277,0
1,42.0233154296875,7.906326770782471,2,8,5,9.127533912658691,1,1,8,1,2,0,4224,1
0,31.25265884399414,9.011014938354492,2,13,5,2.9981372356414795,1,1,13,0,2,0,68,1
0,16.775991439819336,1.6454497575759888,1,11,4,3.1894991397857666,1,1,8,1,2,269,53,1
0,19.639461517333984,11.87822151184082,1,11,8,0.9289870262145996,0,0,0,0,2,0,63,0
1,44.098106384277344,12.413628578186035,2,1,4,3.319727659225464,1,1,10,0,2,0,423,1
1,29.353219985961914,1.1599518060684204,2,8,8,3.0569164752960205,1,1,1,1,2,278,350,1
1,61.09828567504883,15.064983367919922,2,13,4,7.52376651763916,1,1,19,0,2,0,596,1
1,58.9091911315918,9.456097602844238,2,10,4,19.21664047241211,1,1,15,0,2,0,1528,1
1,33.19485092163086,1.887146234512329,2,9,4,0.8453254699707031,1,1,6,0,2,161,2448,1
1,19.326862335205078,4.541927337646484,2,4,4,0.20092765986919403,0,1,1,1,2,249,248,0
1,16.90790367126465,3.9039859771728516,2,3,7,0.6642103791236877,1,0,0,0,2,0,71,0
0,39.92579650878906,3.870417833328247,2,11,8,14.998727798461914,1,1,1,1,2,118,131,1
