LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
50084,1,1,2,38,0,0,0,0,0,0,10966,19041,48084,24116,17837,14850,4288,3941,6312,860,3641,1040,0
19379,1,3,2,26,2,2,2,-2,-1,-2,10630,12653,0,0,0,0,0,0,0,0,0,0,1
272091,1,1,1,46,0,0,0,0,0,0,209649,172790,129992,95352,64334,64806,20991,14984,19706,4635,4133,2578,0
170743,2,2,2,40,1,-2,-1,-1,-2,-1,0,0,2466,0,0,425,1859,1639,0,0,133,3093,1
76092,1,1,1,45,2,2,0,0,0,0,69680,85488,97130,75779,63288,47843,0,5298,0,1767,983,0,1
451703,1,2,2,35,1,2,-1,0,-1,-1,6190,3367,-7109,2676,973,2277,0,1720,1926,5831,3494,0,0
30163,2,3,2,41,0,0,0,0,0,0,16205,15780,19706,11441,12722,13717,2055,893,1173,1690,738,679,1
207709,2,2,2,43,1,-2,-2,-2,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
225876,1,1,2,34,1,-2,-1,-1,-2,-2,62925,41271,193672,25154,0,0,0,26140,12572,0,46043,0,0
349834,1,2,1,45,-1,-1,-1,-1,-1,-1,2494,438,0,0,0,320,288,644,0,0,813,0,0
16216,1,2,2,26,0,0,0,0,0,0,13884,35077,10729,48088,20314,5131,2913,2308,2428,1009,2710,13852,0
28908,2,1,2,27,0,0,0,0,0,0,27907,48356,28405,60242,42477,51582,2061,1527,1968,51842,33615,1859,0
45799,2,3,1,43,0,0,0,0,0,0,45817,59037,77771,59526,38414,36403,2662,2254,2896,1778,2590,2762,0
139435,2,1,2,43,0,0,0,0,-1,0,78652,85974,42026,63356,65055,42264,7558,4105,5219,61090,4796,0,0
53277,2,2,1,30,0,0,0,0,0,0,20713,38533,23755,12642,13976,25554,2159,1833,2226,1118,613,467,1
104031,2,3,1,48,0,0,0,0,0,0,220791,192595,114838,137862,189255,113739,5792,4238,11090,3736,5476,7713,0
305314,1,1,2,33,0,0,0,0,0,0,135923,322309,79914,85928,76325,73413,14732,93126,23755,1059,22682,107400,0
24456,2,3,2,31,2,3,-2,2,-2,-2,0,2797,2806,287,1265,0,0,3884,0,0,0,0,1
510368,2,2,1,51,2,5,0,2,0,0,191173,264902,130399,169357,166237,194660,0,12901,0,7652,7490,13700,0
167268,2,1,2,41,-1,-1,-1,-2,-2,-2,0,-571,1999,0,0,0,803,252,0,0,0,0,1
228990,2,2,1,22,1,5,2,3,2,0,3436,37983,23290,17528,9041,19198,11063,0,1931,0,742,1480,0
389719,1,1,2,30,2,-2,-2,-1,-2,-2,188206,12714,15040,167650,12515,3505,22070,72357,0,54004,1727,163189,1
259925,2,2,1,38,-1,-1,-1,-1,-1,-2,750,0,2245,3068,0,0,0,1988,4808,0,0,0,0
124109,2,1,1,39,-1,-1,-2,-2,-2,-2,13540,2651,0,0,0,0,0,0,0,0,0,0,0
214923,1,1,2,41,0,0,-1,-1,-1,-1,96614,23706,13414,9596,4634,2609,6195,11550,4368,3474,54714,2093,0
49907,1,2,1,44,2,2,2,2,2,2,24712,45026,13181,22286,32186,25193,1995,1168,1025,1268,634,864,1
172627,1,3,1,34,0,-1,2,-1,-1,-2,12026,-194,3214,3063,5798,1621,2351,0,4018,0,0,16323,0
495544,1,1,1,62,-1,-1,-1,-2,-2,-2,2957,1914,0,0,2466,0,185,11781,0,0,3964,5017,0
100601,2,3,2,25,0,0,0,0,0,0,45260,62809,42416,34170,52145,34037,3126,2043,3151,692,2613,2401,0
181564,2,2,1,30,0,0,0,0,0,0,140034,120117,105106,101237,152568,184774,5177,5510,3479,3846,4963,5101,0
208938,1,3,1,53,0,0,0,0,0,0,312246,239660,253417,515642,289276,10024,13082,5727,5037,9416,3989,3641,0
155366,1,2,1,40,2,2,2,2,2,2,134260,139167,134964,109936,123987,123608,5168,8052,0,6086,6004,4766,1
54977,1,2,1,35,0,0,0,0,0,0,43347,50418,44626,47879,54413,58774,1609,2199,1599,1232,1258,2227,0
62530,1,2,1,22,2,3,2,2,5,3,38779,12724,21011,25010,12717,21066,2871,0,2149,1516,0,0,0
219075,1,1,2,30,-1,-1,-1,-1,0,0,1138,11504,1681,81493,8040,18504,23451,22789,30150,7116,9091,6760,0
238771,2,1,2,28,0,0,0,0,0,0,46276,136230,133560,171762,302013,75718,9974,36368,95028,4207,28836,5233,0
40507,2,2,2,26,0,0,0,2,2,0,20524,19493,33260,33647,22693,36072,1970,983,1924,1251,172,0,0
50799,1,3,1,44,0,0,0,0,0,0,73955,41198,29427,34781,33517,19756,1858,1419,1446,1776,925,1491,0
36459,2,2,2,38,2,2,0,0,0,0,15041,23436,16542,26585,5944,29597,1287,801,2199,995,307,990,1
50678,1,1,2,39,0,2,2,2,0,0,35989,14475,18340,24935,27153,29035,8094,4683,0,997,9452,3225,0
408199,2,3,1,40,0,0,0,0,0,0,314181,254742,154505,162842,190865,202786,10477,23514,3602,61884,5728,5086,0
151960,1,1,1,49,-1,-2,-2,-1,-1,-1,192,721,1989,1428,15826,9609,11819,3202,3686,8210,11088,4544,0
52390,2,3,1,28,7,2,5,3,2,2,22338,26515,15998,35301,50680,233341,0,716,0,0,1442,0,1
204562,2,2,1,39,0,0,0,-1,-1,-2,14065,24139,16090,12282,0,13390,7024,5783,4884,0,1549,0,0
