age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
41,4,46495,11,2,14,0,4,1,0,0,34,39,1
36,4,33238,4,4,3,1,1,1,0,0,25,30,0
29,4,45267,7,3,8,4,2,0,0,0,40,6,0
48,4,171209,15,2,12,0,4,1,0,0,40,39,0
55,4,115243,11,5,13,3,4,0,0,0,40,39,0
46,4,164510,14,4,14,3,4,0,0,0,31,33,0
33,4,142309,12,2,14,0,1,1,7326,0,40,9,1
24,4,275070,15,4,8,1,2,1,0,0,45,39,0
38,7,41201,11,0,13,4,2,1,0,0,68,39,0
28,4,337415,11,0,7,4,2,1,0,0,33,39,0
22,4,177615,11,2,3,0,4,1,0,0,60,39,0
27,4,184231,11,2,12,0,4,1,0,0,61,39,1
22,6,348385,15,4,10,3,4,1,0,0,60,39,0
27,4,283622,11,2,3,0,4,1,14829,0,40,27,1
65,0,192796,4,2,0,5,4,0,0,0,20,39,0
63,4,119688,1,4,12,1,1,0,0,0,20,27,0
30,4,244293,8,2,13,0,4,1,0,0,40,39,0
33,4,250008,15,0,7,1,4,0,0,1569,40,0,1
40,4,237476,15,0,13,4,4,0,0,0,40,39,0
26,4,178910,15,4,12,1,4,1,0,0,25,33,0
61,4,323829,11,2,6,0,4,1,0,0,40,39,1
49,1,196281,15,0,3,1,4,1,0,0,68,39,0
56,1,180913,15,4,1,1,4,0,0,2711,60,39,0
51,6,186214,15,2,4,0,4,1,0,0,50,39,0
65,5,131334,12,2,4,0,4,1,0,0,60,39,1
25,4,182628,11,4,1,5,4,1,0,0,33,39,1
34,1,147829,15,4,13,2,1,0,0,0,40,11,0
19,4,162718,15,2,12,0,4,1,14773,0,11,39,1
54,4,120244,0,2,8,0,4,1,1147,0,11,39,0
50,0,163364,15,2,0,0,4,0,3335,0,81,39,0
46,2,163206,9,2,10,5,4,0,0,0,32,39,1
26,1,87432,8,2,13,0,4,1,0,0,40,39,1
36,4,415035,8,0,12,1,4,0,0,0,50,39,0
46,4,178953,9,2,10,0,4,1,0,0,40,0,1
48,4,359746,9,2,7,0,2,1,0,0,60,39,1
54,1,196540,1,2,3,0,4,1,0,1892,40,39,1
36,4,189276,11,2,8,5,4,0,0,0,18,39,0
