LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
20417,2,2,1,28,0,0,0,0,0,0,13651,12041,2217,893,4207,11475,871,886,-219,-187,2135,1361,0
457311,2,1,1,27,-1,2,-1,-1,-1,-1,3790,-1742,446,-266,299,1215,156,713,168,-73,435,325,0
53102,1,3,1,34,0,0,0,0,0,0,15159,2346,13835,19863,7926,16410,1465,2505,1269,436,4008,8838,0
201415,2,1,1,63,-2,-2,-2,-2,-2,-2,5188,731,0,0,-521,2121,0,0,0,0,4074,27610,0
297620,1,3,1,40,5,2,5,2,2,0,364459,196575,191653,277641,229744,269366,0,0,0,2672,0,3642,1
216667,2,1,1,31,-2,-2,-2,-2,-2,-2,2558,1008,3777,5835,1992,2129,0,4399,8585,42246,2411,30869,0
412074,1,1,2,25,0,0,0,0,0,0,39887,118721,47870,72702,44512,87212,6635,3663,2137,69344,2532,5157,0
225369,1,1,1,40,-2,-2,-2,-1,-1,-1,0,0,811,99,161,3120,2322,4363,637,0,5284,9976,0
48190,1,2,2,29,2,2,4,4,4,4,12940,2538,19774,894,13231,1807,0,0,0,0,0,714,1
268202,1,1,1,47,-1,-1,-1,-2,-2,-1,3738,1866,0,0,0,0,0,0,0,0,0,0,0
181773,2,3,1,49,-1,-2,-2,-1,-1,-2,1091,1211,1336,-458,-818,0,599,1418,807,1883,0,0,0
220700,1,1,2,25,-1,0,0,-1,-1,-1,6701,3366,2410,-869,9113,-465,1720,1837,13423,32761,489,928,0
22713,1,2,2,26,0,0,0,0,0,0,16187,14924,19642,11351,13874,15835,2570,988,1443,519,0,1405,0
396184,2,3,1,33,-1,0,-1,-1,-1,0,2591,30701,17950,22376,60464,16949,8551,8585,24831,23811,0,669,0
86176,2,2,1,24,1,2,2,2,2,2,27611,37033,28651,32165,54582,43165,2250,0,1215,0,882,602,0
88612,2,2,1,32,0,0,0,0,0,0,67679,86230,60303,64151,67086,13822,2867,4927,3979,955,2000,1054,0
138259,2,2,1,50,0,0,0,0,0,0,71961,70225,72071,126886,62187,67414,5019,3256,2965,3791,28752,121391,0
30736,1,1,3,24,1,2,0,2,2,2,19270,2910,24011,2858,6973,39068,0,2877,0,0,0,426,1
54011,1,2,2,32,0,0,0,0,0,0,38405,41204,60571,67404,48620,59519,1103,1993,1416,1773,1747,1979,0
149849,2,2,2,28,0,0,0,0,0,0,104575,132701,115333,84539,68741,94414,3580,5598,7318,1990,1135,4340,0
