Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,CreditCard,Securities Account,CD Account,Online,Personal Loan
58,22,18.218948877601807,94073,4,1.424516612395304,1,0,1,0,0,1,0
31,21,38.402378080262785,94317,1,1.5493546459991445,2,0,0,0,0,1,0
36,25,22.959197077986996,90271,2,0.6533236086509782,1,0,0,0,0,1,0
30,23,69.70794764058677,94027,1,1.8103621816588245,3,0,0,0,0,0,0
39,6,53.80578760032443,94408,3,2.364579144707421,2,0,0,0,0,0,1
29,4,104.34166301232459,90498,2,2.8588780751894878,1,486,0,0,0,0,0
45,18,168.0960364420099,91968,1,3.6259476780528104,1,142,1,0,0,1,0
56,7,39.194563690837555,91578,3,2.0375379926961026,3,0,0,0,0,0,1
44,36,68.77901904948445,94600,3,2.0578656411033123,3,0,0,0,0,0,1
42,30,67.41030209861157,94546,3,0.2443344045250233,1,0,0,0,0,0,0
57,35,16.298991604867467,94031,3,0.11266790827413486,3,0,1,0,0,1,0
29,27,119.31633595207866,91826,1,2.0232027774060817,3,147,0,0,0,0,0
26,10,26.455010087644922,94016,4,0.23517456863672415,3,0,0,0,0,0,0
23,23,152.98502685647804,93779,2,0.1652959689333382,1,87,0,0,0,0,1
40,12,23.395515292432002,92790,4,0.19435714383738212,3,95,1,0,0,1,0
50,18,40.57634318758466,94349,4,1.7034430496513946,3,0,0,0,0,0,0
43,11,87.35180752247108,94498,4,0.14872286122794343,1,0,0,0,0,1,0
48,25,10.639178512911805,91826,4,0.4277818107054612,2,99,1,0,0,0,0
25,26,65.36069605954405,92114,3,0.6695573360455316,3,96,0,0,0,1,0
31,19,27.649564115605532,94701,1,1.0556017791562442,2,174,0,0,0,1,0
61,43,49.176390946567544,93934,4,2.70000693341157,2,0,0,0,0,0,0
53,29,42.44989800823332,92236,3,4.92274631260137,2,0,0,0,0,1,0
47,9,55.78309651532046,94229,3,0.7502408564343401,2,146,0,0,0,1,0
32,10,53.94408496352783,94807,4,1.4116519261205234,2,0,0,0,0,0,0
62,31,59.06351318805975,93364,4,1.4627269641533078,3,0,0,0,0,0,0
55,27,36.71073476612529,93944,4,0.15123775524417304,3,0,0,0,0,0,0
47,12,3.0016574161618053,94697,4,0.38798421517634685,2,0,0,0,0,0,0
56,38,31.79483877966975,95809,3,1.668133323079294,3,271,0,0,0,1,0
34,27,76.64209513810404,94380,1,0.3380791030956287,1,0,0,0,0,0,1
34,18,138.79301045542636,94771,1,2.8985015438806685,1,302,1,0,0,1,0
33,22,30.3346790955935,90220,3,0.3225393861464485,2,0,0,0,0,1,0
47,16,27.633149252598628,93177,2,1.7382873447906189,1,164,0,0,0,0,0
40,28,168.84359143684966,94296,2,1.575008052738195,1,0,0,0,0,0,0
